,Unnamed: 0,data,label
60809,60809,i wasn t feeling exceptionally inspired to work out today and i knew i couldn t convince myself to get in the car and drive to the gym so i decided to take the elevator down floors and use the amenities that we pay monthly for and workout at my condo gym,1
16981,16981,i think the nonsense that whites are made to feel guilty by any discussion of what apartheid was and what its legacy today is a result of the character of the transition from white to majority rule,0
60016,60016,i feel utterly exhausted and unable to function,0
20403,20403,i had the feeling that this was a tender mercy from a loving father to me,2
37545,37545,i can feel my glutes aching as i push the pedals over,0
2642,2642,i don t feel it s some super special magical thing,1
37689,37689,i have a feeling youre going to tell me anyway i say in a friendly way,1
65868,65868,i feel your words the tender trembling moments start were in a world our very own sharing a love that only few have ever known,2
35322,35322,i feel dull in comparison wanting to change with them,0
69609,69609,i do not feel the investment was worthwhile,1
70209,70209,i was feeling rushed and trying not to panic,3
30022,30022,im feeling very insulted right now,3
11990,11990,i dont know but i feel really lucky,1
31064,31064,i feel so violent today,3
50113,50113,i feel pretty carefree,1
27014,27014,i feel like it was really funny in a ham y sort of way and jim broadbent as slughorn was a piece of genius casting although i havent seen it in about years so who even knows,5
51497,51497,im pleased to say that i feel considerably more positive today yet while my outlook has improved visions has as the same time lost some of its appeal for me the same intensity and bleakness which originally drew me to the album instead turning me off it,1
14130,14130,i began to feel a touch agitated,4
4115,4115,i feel completely tranquil inside and out,1
22303,22303,i feel like i m in a particularly unpleasant bar where it could all go off at any minute,0
24891,24891,i am feeling terrible,0
34116,34116,i feel like i ve impressed a lot of the scientists with my ability to quickly pick up all the skills expected of a tech,5
34538,34538,i feel that i must blog about my delicious lunch today at luke s lobster luke s lobster e,1
51314,51314,a dear friend was removed from the division whre i work,0
63582,63582,im glad turtles cant talk or have feelings of resentment and a sense of being unjustly wronged or sue,3
69519,69519,i do feel this movie is a bit too violent to have the pg rating but thats how it is now,3
5131,5131,i feel impatient when i hear anything about the guilt of working mothers i don t feel guilty about working at all,3
58070,58070,i am just feeling like a worthless piece of junk,0
67967,67967,i am also human being obviously i do feel angry at times due to the others,3
25365,25365,i last posted due to a rotten cold working way too much and just feeling miserable due to my cold work and the weather,0
40869,40869,i love the feeling of satisfied travelers raving about how much they loved their vacations how much fun their family had and how relaxed they feel coming back,1
3067,3067,im instantly shot back to my childhood and relish in feeling like a carefree kid again if only for that small pocket of time,1
62860,62860,i finall feel accepted for who i am yes people know about the self harm but have never really accepted it,1
922,922,i feel more curious about frustration than happiness,5
35860,35860,im sure you will be left feeling inspired for your winter wardrobe,1
5262,5262,i have changed parts of myself and i placed my ideals in your camp and it feels tragic to be rejected by the person who you align mentally with in someways,0
68338,68338,i feel like im a little up my own arse saying things like this but its not just because im irritated that they feel they can do it and its also something i want to pursue at some stage as a career,3
7651,7651,i was hoping for more and left feeling a little disappointed,0
32834,32834,i feel so disturbed yet so content,0
48842,48842,i feeling envious of kate,3
18279,18279,i still feel very confused even after working on for a couple more hours after ive put ana to bed,4
47625,47625,i could kinda feel the mellow awkwardness building by the unexpected coincidence,1
8369,8369,i feel so intelligent lately,1
58206,58206,i really feel very guilty,0
37491,37491,i feel the leaving sometimes i weep and i know not why i cry at the sight of you your beauty makes me weep thankful tears thank you god michellemarie,1
9982,9982,i tend to feel slightly suspicious of the feline species,4
70059,70059,i love pine hills im feeling a bit regretful at not looking at houses in the d a href http delawareavenue,0
23884,23884,i was in a bit of a flame war today on a forum i frequent and unlike in most internet flame wars ive been in during my life i didnt come away crying from it or feeling worthless or like i had done something terrible or maybe was awful for just existing,0
35244,35244,i feel cute,1
61986,61986,i went through the motions and i put on a show but when it came to the separation time with a very real possibility of never seeing each other again i didn t feel devastated or heartbroken,0
53687,53687,when my son fell off the cot at the age of months,4
66245,66245,i feel ecstatic and i find saying myself i do love my work,1
47365,47365,i hope is that by sharing this story you too shall realize that there will come a time when you are so sick of feeling so distraught so filled with pain anger and confusion that you too will make that decision to let it go so that healing can begin with you,4
29900,29900,staying in the room alone at night,4
29401,29401,i feel embarrassed to ask one of my brothers because my whole family was upset about this relationship in the first place and i feel ashamed,0
16105,16105,i feel complacent but not joyous,1
19910,19910,i know that just being here right now makes you feel like a little girl frightened and alone but you are not a little girl anymore,4
34223,34223,i should be feeling or thinking differently about things but instead my loving and trusting friends have reassured me that they love me no matter what and that brings a certain amount of comfort,2
32281,32281,i feels more and more curious about what s going on before haru then continues,5
68052,68052,i remember it being a really profound feeling it wasn t just something i thought it was cool,1
24458,24458,i am quiet and last night that came back and as i prayed doing it out loud feeling again the gentle that is me praying softly and humbly and with feeling i was made to cry throughout the praying,2
36247,36247,i feel like i broke google,0
15342,15342,i think the feeling is being rushed out of context,3
542,542,i will have to push myself to make others feel as valued as they have made me and that it will be worth it,1
19692,19692,i know right now mostly make me feel week and lame,0
38059,38059,when i did bad on a chamistry midterm which i could have done well,0
48957,48957,i don t understand americans and comfort food when ever i eat it i just feel uncomfortable,4
63226,63226,i feel about it but i convinced myself that it was worth my being there to shoot this,1
61288,61288,i ran that race and finished feeling wonderful,1
4965,4965,i feel a frantic tapping on my arm and look over and a very sweet young japanese guy is telling me in english its ok its ok,4
34123,34123,i felt certain that with so much activity and with the river feeling so lively and fresh surely there mush be some sub surface hawking going on at least,1
47873,47873,i get the feeling his wife is not pleased with me,1
4080,4080,i feel tender and vulnerable and confused about what to do with the ice shards in my hands,2
57128,57128,i feel a strange,4
36492,36492,i talk very fast use lots of jargon and make huge inductive leaps the audience will get lost feel dumb and inadequate and assume that i the speaker must be the brightest person around,0
56546,56546,i feel so happy that so many people actually cared about me,1
21377,21377,i feel like a deer stunned by headlights while driving at night i have a real problem with yup those high intensity discharge headlights,5
10876,10876,i was feeling pretty horny as usual and just wanted to lay back and enjoy the outdoors butt naked in the woods mmmm i am so nasty baby i love to fuck in public with the urge of getting caught check out what happens next,2
23274,23274,i do this because well it makes me feel pretty,1
23081,23081,i just knew that i had to feel better for the morning to get jude to the hospital and to be there with him during his surgery,1
68131,68131,i like him i still feel convinced that id just be too much for him,1
52143,52143,i feel some sense of fulfillment as a submissive in a service related way,0
57922,57922,i went swimming to a friend s swimming pool last wednesday i feel disgusted looking at myself because the other part of my body looks skinny but my belly is looking so bloated hahaha,3
22457,22457,i don t want to feel like i can t have the clothes that i want or that i cant be with the handsome man that i want because i m not happy with the way i look,1
45254,45254,i could have said picking seaweed from my teeth i like to jump into the quicksands at the estuary when i feel low it always makes me feel better,0
49746,49746,i feel like i am past it and doomed to a lifetime of bench wiping and whinging,0
40382,40382,i feel like my parents arent supporting me and its really frustrating,1
28945,28945,i feel definitely technology unfriendly today,3
23158,23158,i have to admit feeling a bit strange about that,5
47552,47552,i also feel disappointment when things don t work out when i get the no or the ignored email or when i initiate a friendship and it doesn t go anywhere,0
4076,4076,im pretty fearless when it comes to making visitors feel welcomed bearing testimony even giving talks at church but teaching gospel doctrine,1
11507,11507,i am interested in living a beautiful life spending time with my family and making things that i can feel proud of,1
54059,54059,i feel so stressed i can t go on like this anymore,0
25561,25561,i felt on what is the feeling of heartbroken before,0
13398,13398,i feel like im being tortured for little reward or that no one is taking care of us or treating us like adults,3
61918,61918,i avoid a new year s resolution but i m feeling especially determined this year,1
19924,19924,i was actually feeling nostalgic,2
2714,2714,i did notice some dissolve transitions but i feel like these are acceptable because an established news organization is airing this clip,1
52271,52271,i feel a bit like i do on thanksgiving when we go around the table to say what we are thankful for usua,1
19493,19493,i still have feelings and emotions for goodness gracious what am i in your eyes,1
27133,27133,im still figuring out what feelings are and i will know what love is to me when my prince charming appears,1
21599,21599,i feel like the most selfish person alive,3
68046,68046,i noticed all the scruffy looking sci fi male geeks getting tickets to see the film i was keen on prometheus and i started to feel disheartened,0
8613,8613,i love this country and feel blessed to live in it,2
13500,13500,im not a sciencegineer or else id really make that pilot feel stupid,0
20226,20226,i was insecure becuase of my feelings for a dude becuase i felt that i liked him more than he did me,2
49818,49818,i will feel i don t care how strong you claim to be how educated your degrees indicate you are how much money you have how much prestige you have acquired from our peers i am the sole person to decide the thoughts i will think within this moment that we share and no one else,1
14435,14435,i write to work through my feelings its where i feel the safest to be my most vulnerable,4
9470,9470,i feel when i was unsuccessful in my scholarship application one after another pressing in to the deadline for me to submit the financial guarantee,0
54060,54060,i am still feeling shy from the incident actually,4
